Class	Tx_expression	Gene_expression	DNase_Enh	DNase_Prom	H4K20me1_Enh	H4K20me1_Prom	H3K9me3_Enh	H3K9me3_Prom	H3K9ac_Enh	H3K9ac_Prom	H3K79me2_Enh	H3K79me2_Prom	H3K4me3_Enh	H3K4me3_Prom	H3K4me2_Enh	H3K4me2_Prom	H3K4me1_Enh	H3K4me1_Prom	H3K36me3_Enh	H3K36me3_Prom	H3K27me3_Enh	H3K27me3_Prom	H3K27ac_Enh	H3K27ac_Prom	H2A.Z_Enh	H2A.Z_Prom	CTCF_Enh	CTCF_Prom	Hi-C_contact
1	-0.997451	-0.982087	-0.964462	-0.104489	-0.825779	-0.31651	-0.936044	-0.429939	-0.989117	-0.432359	-0.986018	-0.140975	-0.994002	-0.560218	-0.956554	-0.164866	-0.450662	-0.286239	-0.908421	0.0819318	-0.97286	-0.894232	-0.981056	-0.634162	-0.971031	-0.572319	-0.826294	1	-0.340638
1	-0.997451	-0.982087	-0.772855	-0.104489	-0.864158	-0.31651	-0.911311	-0.429939	-0.966581	-0.432359	-0.981902	-0.140975	-0.977362	-0.560218	-0.798822	-0.164866	-0.117111	-0.286239	-0.918666	0.0819318	-0.96615	-0.894232	-0.917756	-0.634162	-0.899767	-0.572319	-0.90828	1	-0.340638
1	-0.997451	-0.982087	-0.810979	-0.104489	-0.870045	-0.31651	-0.872015	-0.429939	-0.962962	-0.432359	-0.980417	-0.140975	-0.972652	-0.560218	-0.8379	-0.164866	-0.0245169	-0.286239	-0.898668	0.0819318	-0.951637	-0.894232	-0.836913	-0.634162	-0.847884	-0.572319	-0.970391	1	-0.295133
1	-0.997451	-0.982087	-0.750109	-0.104489	-0.944162	-0.31651	-0.893388	-0.429939	-0.98781	-0.432359	-0.993938	-0.140975	-0.995344	-0.560218	-0.959648	-0.164866	-0.695707	-0.286239	-0.953068	0.0819318	-0.977603	-0.894232	-0.964207	-0.634162	-0.960514	-0.572319	-0.973511	1	0.160506
1	-0.997451	-0.982087	-0.705657	-0.104489	-0.915824	-0.31651	-0.92814	-0.429939	-0.85964	-0.432359	-0.918478	-0.140975	-0.869258	-0.560218	-0.805548	-0.164866	-0.800108	-0.286239	-0.939462	0.0819318	-0.973355	-0.894232	-0.878329	-0.634162	-0.827197	-0.572319	-0.335841	1	1
1	-0.997451	-0.982087	-0.810346	-0.104489	-0.737844	-0.31651	-0.916547	-0.429939	-0.715206	-0.432359	-0.634123	-0.140975	-0.641939	-0.560218	-0.531793	-0.164866	-0.626321	-0.286239	-0.854126	0.0819318	-0.974373	-0.894232	-0.71062	-0.634162	-0.793368	-0.572319	-0.949265	1	1
1	-0.997451	-0.982087	-0.978329	-0.104489	-0.55488	-0.31651	-0.905606	-0.429939	-0.993171	-0.432359	-0.942321	-0.140975	-0.997009	-0.560218	-0.979583	-0.164866	-0.845467	-0.286239	-0.0245225	0.0819318	-0.979318	-0.894232	-0.987263	-0.634162	-0.984579	-0.572319	-0.980743	1	1
0	-0.997451	-0.982087	-0.959903	-0.104489	-0.77058	-0.31651	-0.873887	-0.429939	-0.993529	-0.432359	-0.961395	-0.140975	-0.996063	-0.560218	-0.98451	-0.164866	-0.835007	-0.286239	-0.5578	0.0819318	-0.96967	-0.894232	-0.991241	-0.634162	-0.977327	-0.572319	-0.964297	1	-0.0694873
1	-0.997451	-0.982087	-0.934273	-0.104489	-0.908578	-0.31651	-0.8974	-0.429939	-0.995	-0.432359	-0.991657	-0.140975	-0.99764	-0.560218	-0.991261	-0.164866	-0.84839	-0.286239	-0.950004	0.0819318	-0.948017	-0.894232	-0.997108	-0.634162	-0.952938	-0.572319	0.162006	1	-0.506231
0	-0.997451	-0.982087	-0.971604	-0.104489	-0.843236	-0.31651	-0.87182	-0.429939	-0.990449	-0.432359	-0.984806	-0.140975	-0.996138	-0.560218	-0.979557	-0.164866	-0.884599	-0.286239	-0.780331	0.0819318	-0.950667	-0.894232	-0.99049	-0.634162	-0.966748	-0.572319	-0.943171	1	-0.785515
